INSTNM,CONTROL,DEBT_MDN,C150_4_POOLED_SUPP,RPY_3YR_RT_SUPP,UGDS
Robert Morris University,2,23250,0.6515,0.6553211889,2866
Rosedale Technical College,2,12000,NA,0.4931192661,405
Rosemont College,2,27000,0.4332,0.5,466
Saint Francis University,2,27000,0.7222,0.7644970414,1525
Saint Joseph's University - Philadelphia,2,21500,0.81,0.7923355774,4742
Saint Vincent College,2,23250,0.7399,0.7759036145,1264
Saint Vincent Seminary,2,23250,NA,0.7759036145,NA
Schuylkill Technology Center,1,9873,NA,0.5472972973,74
University of Scranton,2,25500,0.8035,0.7898503578,3589
Seton Hill University,2,23000,0.7129,0.6474501109,1581
UPMC Shadyside School of Nursing,2,12000,NA,0.6425120773,594
Sharon Regional School of Nursing,3,5500,NA,0.5675675676,37
Laurel Technical Institute,3,9080,NA,0.3443037975,160
Shippensburg University of Pennsylvania,1,16192,0.5085,0.7205517241,4179
Slippery Rock University of Pennsylvania,1,19500,0.6619,0.7258103241,6728
Saint Charles Borromeo Seminary-Overbrook,2,13000,0.5484,PS,41
South Hills Beauty Academy,3,3431,NA,0.6,282
South Hills School of Business & Technology,3,12000,NA,0.466374269,241
St Lukes Hospital School of Nursing,2,9834,NA,0.8148148148,340
The Beauty Institute,3,8802,NA,0.3596491228,51
Susquehanna University,2,27000,0.7488,0.8161993769,2120
Swarthmore College,2,13000,0.9392,0.8643410853,1627
Thaddeus Stevens College of Technology,1,6625,NA,0.6943396226,1449
Talmudical Yeshiva of Philadelphia,2,PS,0.7105,NA,120
Temple University,1,19750,0.763,0.6847918437,21249
Theological Seminary of the Reformed Episcopal Church,2,NA,NA,NA,NA
Thiel College,2,18250,0.4341,0.6171243942,773
Thomas Jefferson University,2,12500,0.6787,0.8723684211,3708
Triangle Tech Inc-Pittsburgh,3,12000,NA,0.3940298507,90
Triangle Tech Inc-Greensburg,3,12000,NA,0.6206896552,100
Triangle Tech Inc-Dubois,3,12000,NA,0.5242165242,79
Trinity Anglican Seminary,2,NA,NA,NA,NA
Ursinus College,2,26000,0.7487,0.8269230769,1477
University of Valley Forge,2,20166,0.4764,0.5202205882,471
Valley Forge Military College,2,9500,NA,0.5447154472,83
Venus Beauty Academy,3,5500,NA,0.4022346369,71
Villanova University,2,25000,0.9153,0.8993123772,7005
Washington Health System School of Nursing,2,12000,NA,0.65625,39
Washington & Jefferson College,2,26000,0.7292,0.7829341317,1154
Waynesburg University,2,21500,0.6005,0.74,1081
Welder Training and Testing Institute,3,5500,NA,0.5157894737,51
West Chester University of Pennsylvania,1,18750,0.7069,0.7491891892,14067
Western Pennsylvania Hospital School of Nursing,2,12000,NA,0.8,145
Westminster College,2,22825,0.6391,0.7991858887,1051
Westminster Theological Seminary,2,PS,NA,NA,NA
Westmoreland County Community College,1,8977,NA,0.4655775963,2628
Widener University,2,24567,0.6562,0.660326087,2765
Wilkes University,2,20500,0.5982,0.7235099338,1893
Williamson College of the Trades,2,PS,NA,NA,313
Wilson College,2,19500,0.512,0.6042944785,745
Yeshivath Beth Moshe,2,PS,0.7143,PS,39
York College of Pennsylvania,2,19500,0.622,0.7264815582,3187
YTI Career Institute-York,3,9500,NA,0.4515701017,497
Brown University,2,10000,0.9546,0.8700209644,7273
Bryant University,2,23250,0.8153,0.8685714286,3236
Johnson & Wales University-Providence,2,16334,0.569,0.6799300843,3913
New England Institute of Technology,2,12000,0.5415,0.5244347192,1712
New England Tractor Trailer Training School of Rhode Island,3,6333,NA,0.4592889908,487
Providence College,2,27000,0.8673,0.7881417209,4170
Rhode Island College,1,13833,0.4497,0.5991535671,4630
Community College of Rhode Island,1,5567,NA,0.4981420765,11455
University of Rhode Island,1,17750,0.7144,0.6944890316,13822
Rhode Island School of Design,2,23250,0.8975,0.8691206544,2090
Roger Williams University,2,19500,0.6705,0.789408867,3957
Salve Regina University,2,27000,0.7522,0.8061674009,2102
Empire Beauty School-Warwick,3,6333,NA,0.2255125285,132
Northpoint Bible College,2,16657,0.4182,0.4785276074,89
Aiken Technical College,1,7110,NA,0.3122171946,1911
Allen University,2,12000,0.1111,0.1382488479,635
Anderson University,2,22000,0.657,0.5759438104,3080
Charleston Southern University,2,18250,0.46,0.489010989,2716
Technical College of the Lowcountry,1,6431,NA,0.3811252269,1697
Benedict College,2,16000,0.2045,0.1341609932,1573
Bob Jones University,2,12453,0.6939,0.8255578093,2209
Southern Wesleyan University,2,19500,0.5567,0.4760536398,771
Charleston Cosmetology Institute,3,4307,NA,0.3057324841,89
College of Charleston,1,17500,0.648,0.6024059223,10366
Charzanne Beauty College,3,8000,NA,PS,32
Northeastern Technical College,1,PS,NA,NA,849
Citadel Military College of South Carolina,1,18000,0.7155,0.7093541203,2624
Claflin University,2,22049,0.4955,0.2545289855,1727
Clemson University,1,19000,0.866,0.7755102041,22778
Clinton College,2,12000,0.1162,0.1466666667,94
Coker University,2,15000,0.3853,0.3882978723,807
Columbia International University,2,10500,0.6766,0.6625514403,690
Columbia College,2,14750,0.5443,0.4449152542,1245
Converse University,2,22500,0.5184,0.5928571429,845
Denmark Technical College,1,6750,NA,0.1092369478,539
Erskine College,2,9500,0.474,0.6772727273,821
Florence-Darlington Technical College,1,6750,NA,0.2124215395,2890
Francis Marion University,1,15617,0.4093,0.4076060458,2640
Furman University,2,19500,0.8352,0.8255451713,2322
Greenville Technical College,1,8604,0.174,0.3276241742,8171
Horry-Georgetown Technical College,1,8250,NA,0.2925531915,5962
Kenneth Shuler School of Cosmetology-North Augusta,3,5825,NA,0.2078313253,125
Kenneth Shuler School of Cosmetology and Nails-Columbia,3,5775,NA,0.2319391635,124
Lander University,1,12503,0.4705,0.4598494354,3384
Limestone University,2,18750,0.2642,0.3489260143,1528
Medical University of South Carolina,1,13021,NA,0.8737373737,281
Midlands Technical College,1,6750,NA,0.340138948,7731
Morris College,2,14750,0.2207,0.1298543689,421
Newberry College,2,15750,0.4664,0.5581039755,1462
North Greenville University,2,15000,0.5432,0.6076233184,1719
Orangeburg Calhoun Technical College,1,7000,NA,0.2926634769,1564
Piedmont Technical College,1,9500,NA,0.2534674064,3988
Presbyterian College,2,13000,0.6268,0.7294429708,862
University of South Carolina Aiken,1,13000,0.4129,0.5174644243,2805
University of South Carolina Beaufort,1,13750,0.3852,0.4747774481,1958
University of South Carolina-Columbia,1,18500,0.7801,0.6678196089,28113
University of South Carolina-Lancaster,1,5500,NA,NA,649
University of South Carolina-Salkehatchie,1,6500,NA,0.237804878,290
University of South Carolina-Sumter,1,5500,NA,0.3959107807,631
University of South Carolina-Union,1,5500,NA,0.226744186,267
Coastal Carolina University,1,16979,0.4945,0.5173085244,9909
South Carolina State University,1,20900,0.32,0.287327478,2757
University of South Carolina-Upstate,1,15000,0.4279,0.5385132862,4008
Sherman College of Chiropractic,2,NA,NA,NA,NA
Spartanburg Methodist College,2,7500,0.3704,0.4464831804,1029
Spartanburg Community College,1,5143,NA,0.4193072955,5063
Central Carolina Technical College,1,6821,NA,0.2312261349,2388
Tri-County Technical College,1,5500,NA,0.4453993933,4960
Trident Technical College,1,6500,NA,0.291926851,11091
Voorhees University,2,15245,0.3696,0.1755319149,460
Williamsburg Technical College,1,PS,NA,NA,376
Winthrop University,1,19000,0.6107,0.4901878914,3424
Wofford College,2,20500,0.8161,0.787965616,1873
York Technical College,1,5136,NA,0.2863705972,3813
Augustana University,2,21250,0.7558,0.8290909091,1818
The Salon Professional Academy,3,7315,NA,0.54,65
Black Hills State University,1,15000,0.4154,0.621129326,1935
Dakota State University,1,14250,0.4902,0.6730268864,1969
Dakota Wesleyan University,2,19500,0.5,0.7014613779,661
Paul Mitchell the School-Rapid City,3,7083,NA,0.4680851064,79
Lake Area Technical College,1,9888,NA,0.7123613312,1710
Avera McKennan Hospital School of Radiologic Technology,2,PS,NA,PS,0
Mitchell Technical College,1,8403,NA,0.7142857143,953
Mount Marty University,2,14750,0.5869,0.6561181435,702
National American University-Rapid City,3,20120,0.2308,0.2421296296,832
Kairos University,2,PS,NA,PS,36
Northern State University,1,15750,0.5152,0.6467486819,1239
Oglala Lakota College,1,PS,0.0977,NA,1156
Avera Sacred Heart Hospital,2,NA,NA,NA,0
South Dakota School of Mines and Technology,1,17306,0.5699,0.7890410959,2042
South Dakota State University,1,16246,0.5945,0.759553849,8798
Sinte Gleska University,1,PS,0.05,NA,579
University of Sioux Falls,2,16141,0.5989,0.7435897436,1258
Sanford Medical Center,2,PS,NA,PS,27
Sisseton Wahpeton College,1,PS,0.1047,NA,209
Southeast Technical College,1,9500,NA,0.595473251,2164
Stewart School,3,6168,NA,0.7135416667,148
University of South Dakota,1,17500,0.5937,0.6947510094,5239
Western Dakota Technical College,1,9500,NA,0.4815481548,733
American Baptist College,2,19000,0.2727,PS,48
Arnolds Beauty School,3,7667,NA,0.4833333333,63
TCAT Athens,1,PS,NA,NA,365
Austin Peay State University,1,13202,0.4389,0.4457786116,7365
Baptist Health Sciences University,2,16170,0.5586,0.5505124451,673
Belmont University,2,17500,0.7209,0.7599318956,7306
Bethel University,2,16750,0.3932,0.3350613915,1671
Bryan College-Dayton,2,13000,0.5353,0.6892430279,815
Carson-Newman University,2,14519,0.5195,0.6414662085,1374
Chattanooga State Community College,1,7249,NA,0.3223491506,4689
Christian Brothers University,2,17589,0.5778,0.5390625,953
Pentecostal Theological Seminary,2,PS,NA,PS,0
Austin's Beauty College Inc,3,7917,NA,NA,98
Cleveland State Community College,1,5481,NA,0.3641394577,1967
Columbia State Community College,1,5500,NA,0.4440104167,3679
Concorde Career College-Memphis,3,9500,NA,0.2654224987,420
Cumberland University,2,11250,0.4767,0.6262886598,2053
Lipscomb University,2,15350,0.6908,0.6902587519,3021
Tennessee College of Applied Technology-Dickson,1,PS,NA,NA,622
Dyersburg State Community College,1,4475,NA,0.3618763961,1923
East Tennessee State University,1,14400,0.524,0.5062887511,9807
Chattanooga College Medical Dental and & Technical Careers,3,5457,NA,0.1878669276,311
Tennessee College of Applied Technology-Elizabethton,1,PS,NA,NA,497
The Hair Academy LLC,3,6740,NA,0.3295454545,79
Fisk University,2,14250,0.491,0.3992932862,950
Welch College,2,11375,0.6048,0.5615384615,261
Freed-Hardeman University,2,16750,0.6907,0.6715328467,1244
Tennessee College of Applied Technology-Harriman,1,PS,NA,NA,265
Tennessee College of Applied Technology-Hartsville,1,PS,NA,NA,221
Tennessee College of Applied Technology-Hohenwald,1,PS,NA,NA,322
Tennessee College of Applied Technology-Jacksboro,1,PS,NA,NA,216
Jackson State Community College,1,PS,NA,PS,2211
John A Gupton College,2,5999,NA,0.475,160
Johnson University,2,13500,0.638,0.6151960784,703
Paul Mitchell the School-Murfreesboro,3,7917,NA,0.3699115044,231
King University,2,18000,0.4638,0.5974607916,975
South College,3,9500,0.3755,0.3308411215,6323
Lane College,2,16750,0.1744,0.1290726817,822
Le Moyne-Owen College,2,17000,0.2119,0.1638830898,571
Lee University,2,19500,0.6175,0.5772151899,2712
Lincoln Memorial University,2,15337,0.5241,0.5920608108,1487
Tennessee College of Applied Technology-Livingston,1,PS,NA,NA,333
The University of Tennessee Southern,1,11175,0.3293,0.4334705075,827
Maryville College,2,15000,0.5032,0.6951423786,1028
Tennessee College of Applied Technology-McKenzie,1,PS,NA,NA,114
Genesis Career College-Cookeville,3,5500,NA,0.2368421053,329
Meharry Medical College,2,PS,NA,NA,NA
Tennessee College of Applied Technology-Memphis,1,PS,NA,NA,1078
University of Memphis,1,15809,0.4884,0.3843884729,13645
Memphis Theological Seminary,2,PS,NA,NA,NA
Middle Tennessee State University,1,14093,0.5429,0.4965388711,16115
Middle Tennessee School of Anesthesia Inc,2,NA,NA,NA,NA
Tennessee College of Applied Technology-Morristown,1,PS,NA,NA,613
Motlow State Community College,1,3000,NA,0.4924078091,4055
Tennessee College of Applied Technology-Murfreesboro,1,PS,NA,NA,601
Lincoln College of Technology-Nashville,3,9524,NA,0.407195572,1062
Nashville State Community College,1,6500,NA,0.310042735,4931
Tennessee College of Applied Technology Northwest,1,PS,NA,NA,681
Tennessee College of Applied Technology-Henry/Carroll,1,PS,NA,NA,203
Tennessee College of Applied Technology-Pulaski,1,PS,NA,NA,264
Rhodes College,2,19349,0.8332,0.8389830508,1931
Roane State Community College,1,6426,NA,0.4248159832,3203
Tennessee College of Applied Technology-Crump,1,PS,NA,NA,353
Southwest Tennessee Community College,1,PS,NA,PS,5207
Tennessee College of Applied Technology-Shelbyville,1,PS,NA,NA,366
The University of the South,2,17750,0.8189,0.8262295082,1598
Tennessee College of Applied Technology-Oneida-Huntsville,1,PS,NA,NA,181
Tennessee College of Applied Technology-Upper Cumberland,1,PS,NA,NA,346
Tennessee College of Applied Technology-McMinnville,1,PS,NA,NA,289
Tennessee College of Applied Technology-Jackson,1,PS,NA,NA,543
Tennessee College of Applied Technology-Knoxville,1,PS,NA,NA,730
Pellissippi State Community College,1,5500,NA,0.4026757608,6391
Southern Adventist University,2,18000,0.5157,0.6267730496,2673
Southern College of Optometry,2,PS,NA,PS,NA
Tennessee Wesleyan University,2,14000,0.4672,0.616519174,832
The University of Tennessee-Chattanooga,1,12000,0.5273,0.5698408689,9878
The University of Tennessee-Knoxville,1,16000,0.7304,0.6843162577,28763
The University of Tennessee-Martin,1,12981,0.5379,0.5523928683,4600
Tennessee School of Beauty of Knoxville Inc,3,5500,NA,0.5555555556,337
Tennessee State University,1,17500,0.3274,0.3065649468,6498
Tennessee Technological University,1,11000,0.5704,0.637434227,8495
Trevecca Nazarene University,2,14750,0.58,0.6678743961,1697
Northeast State Community College,1,3500,NA,0.3899848255,4214
Tusculum University,2,14250,0.3222,0.5205585725,903
Union University,2,16666,0.6875,0.6617647059,1637
Vanderbilt University,2,12913,0.9273,0.8355029586,7143
Volunteer State Community College,1,4727,NA,0.4933904966,5139
Walters State Community College,1,3277,NA,0.4841473865,3781
William R Moore College of Technology,2,PS,NA,NA,459
Abilene Christian University,2,14750,0.6027,0.7013401404,3129
Alvin Community College,1,3500,NA,0.4983108108,3451
Amarillo College,1,9500,NA,0.3949357521,7347
Amberton University,2,PS,NA,NA,110
Angelina College,1,PS,NA,NA,2355
Angelo State University,1,12394,0.4088,0.5468140442,5515
Arlington Baptist University,2,9500,0.1395,0.3819444444,268
Arlington Career Institute,3,8015,NA,0.3303571429,439
Austin College,2,17500,0.713,0.73,1125
Austin Community College District,1,6126,0.1605,0.4197421861,25969
Austin Presbyterian Theological Seminary,2,PS,NA,NA,NA
Baldwin Beauty School-South Austin,3,5500,NA,NA,46
Baptist Health System School of Health Professions,3,14342,NA,0.6257425743,524
Baptist Missionary Association Theological Seminary,2,PS,PS,PS,49
Baylor College of Medicine,2,PS,NA,NA,NA
Baylor University,2,19500,0.8081,0.7243295482,15007
Coastal Bend College,1,7445,NA,0.3817966903,1793
Blinn College District,1,5500,NA,0.4658744668,16156
Remington College-Dallas Campus,2,9500,0.4279,0.2589161649,208
Vet Tech Institute of Houston,3,12000,NA,0.5971563981,190
Brazosport College,1,4250,0.3788,0.4331550802,2827
Central Texas College,1,5250,NA,0.3217274858,5985
Charles and Sues School of Hair Design,3,7770,NA,0.4155844156,58
Cisco College,1,6500,NA,0.3668831169,2913
Clarendon College,1,5500,NA,0.3801775148,1380
Concordia University Texas,2,15134,0.3971,0.558531746,1388
BK Cosmo College of Cosmetology,3,9500,NA,NA,39
North Central Texas College,1,6020,NA,0.4073431628,5703
Texas A & M University-Corpus Christi,1,15273,0.3442,0.5176586812,7804
Paul Mitchell the School-Dallas,3,7457,NA,0.4402116402,322
Dallas Baptist University,2,16000,0.5854,0.5489855072,2526
Dallas Christian College,2,15000,0.2895,0.4788732394,272
Dallas Institute of Funeral Service,2,7664,NA,0.4117647059,483
Dallas Theological Seminary,2,PS,NA,PS,NA
University of Dallas,2,18478,0.6987,0.75,1403
Del Mar College,1,3500,0.1459,0.41,9038
East Texas Baptist University,2,15030,0.4523,0.5546975547,1364
Texas A&M University-Texarkana,1,12500,0.3063,0.523099851,1748
East Texas A&M University,1,14250,0.442,0.4657679091,8249
Dallas College,1,5500,0.3507,0.2270854789,41815
El Paso Community College,1,5231,NA,0.3754988029,22893
Western Technical College,3,13406,0.7149,0.2934782609,619
Western Technical College,3,13406,0.6825,0.2934782609,1148
Episcopal Theological Seminary of the Southwest,2,NA,NA,NA,NA
Exposito School of Hair Design,3,4750,NA,0.5833333333,25
Fort Worth Beauty School,3,4750,NA,0.2830882353,41
Frank Phillips College,1,5500,NA,0.3573487032,749
Galveston College,1,7250,0.3297,0.2834224599,1524
Graham's Barber College,3,NA,NA,NA,8
Grayson College,1,7500,0.2194,0.3543758967,2890
Hallmark University,2,18989,0.6732,0.3445273632,781
Hardin-Simmons University,2,13359,0.5343,0.6398779247,1275
Trinity Valley Community College,1,6707,0.2465,0.3056925146,4793
Hill College,1,8088,NA,0.2687793427,2269
Houston Christian University,2,11000,0.4954,0.5544840887,2777
University of Houston-Clear Lake,1,13548,0.5228,0.5573852295,6082
Houston Community College,1,8752,0.1697,0.2677953059,37970
University of Houston-Downtown,1,13750,0.3234,0.4268054652,12812
University of Houston-Victoria,1,13565,0.2483,0.4992679356,2630
University of Houston,1,14000,0.6405,0.6189650689,37175
Howard College,1,6250,NA,0.4232209738,1588
Howard Payne University,2,11892,0.3169,0.546969697,716
Huston-Tillotson University,2,15999,0.3414,0.294197031,982
University of the Incarnate Word,2,21231,0.5252,0.4689873418,4545
Jacksonville College-Main Campus,2,3500,NA,PS,197
Jarvis Christian University,2,12000,0.1555,0.1748971193,730
KD Conservatory College of Film and Dramatic Arts,3,12000,NA,0.3301886792,87
Kilgore College,1,9500,NA,0.322007722,3133
Lamar University,1,12500,0.3744,0.4398488765,7945
Lamar State College-Orange,1,8125,NA,0.4062909567,1426
Lamar State College-Port Arthur,1,7125,NA,0.3130287648,1455
Laredo College,1,2334,0.335,0.418699187,5086
Texas A & M International University,1,11000,0.4918,0.5344603381,6502
Lee College,1,5813,NA,0.377593361,5118
LeTourneau University,2,19000,0.6387,0.5745762712,1510
Lincoln College of Technology-Grand Prairie,3,9524,NA,0.407195572,1330
Lubbock Christian University,2,15750,0.4873,0.5917986952,1210
College of the Mainland,1,5156,0.2711,0.2849604222,3342
University of Mary Hardin-Baylor,2,15750,0.5164,0.5804560261,2959
McLennan Community College,1,6136,NA,0.3035648659,4997
McMurry University,2,19000,0.3792,0.5298245614,1108
Covenant School of Nursing and Allied Health,2,10399,NA,0.6891891892,333
Midland College,1,6300,0.2036,0.5336787565,5020
Midwestern State University,1,13051,0.4115,0.5507070707,4043
William Edge Institute,3,PS,NA,NA,40
Wade College,3,14608,0.4364,0.2444444444,205
Southern Careers Institute-Austin,3,7389,NA,0.1807856129,1079
Tint School of Makeup & Cosmetology,3,4750,NA,0.3163636364,108
Navarro College,1,7926,0.2395,0.2508850982,3959
Lone Star College System,1,5500,0.1832,0.2903759303,47486
University of North Texas,1,14000,0.5925,0.5486280601,33680
Northeast Texas Community College,1,9500,NA,0.2942408377,1964
Oblate School of Theology,2,NA,NA,NA,NA
Ocean Corporation,3,9500,NA,0.45,195
Odessa College,1,6000,0.2571,0.5066964286,4176
Ogle School Hair Skin Nails-Arlington,3,7916,NA,0.3418693982,319
Ogle School Hair Skin Nails-Ft Worth,3,7369,NA,0.3288590604,447
Our Lady of the Lake University,2,17084,0.4091,0.4761476148,1110
The University of Texas Rio Grande Valley,1,9593,0.5091,0.5068899355,27026
Texas Southmost College,1,6125,NA,0.4091468777,3453
Panola College,1,6000,NA,0.3687943262,1378
Paris Junior College,1,4300,NA,0.3157232704,2265
Paul Quinn College,2,11090,0.3396,0.2050209205,600
Prairie View A & M University,1,17500,0.424,0.2880057458,8527
Ranger College,1,5792,NA,0.3500678426,935
Aviation Institute of Maintenance-Houston,3,21413,NA,0.4071661238,281
Rice University,2,9716,0.9469,0.8716707022,4562
Saint Edward's University,2,20000,0.6465,0.6283643892,2729
St Philip's College,1,7250,NA,0.3830409357,10772
University of St Thomas,2,12548,0.6726,0.6183986371,2826
Sam Houston State University,1,16500,0.5557,0.5815793402,18138
San Antonio College,1,6500,0.2372,0.380859375,16067
San Jacinto Community College,1,5750,0.3331,0.3489971347,23071
Schreiner University,2,13500,0.4657,0.6031746032,1028
Seguin Beauty School-Seguin,3,8427,NA,0.3666666667,26
St. Mary's University,2,19500,0.5744,0.5333333333,1911
South Plains College,1,6724,NA,0.4022764228,6124
South Texas Barber College Inc,3,PS,NA,NA,23
South Texas College of Law Houston,2,PS,NA,NA,NA
South Texas Vocational Technical Institute-Weslaco,3,10661,NA,0.3413775767,263
Miller-Motte College-STVT-McAllen,3,10661,NA,0.3413775767,496
Southern Methodist University,2,15311,0.8276,0.7501904037,7106
Southwest School of Business and Technical Careers-San Antonio,3,7226,NA,0.1746411483,22
Southwest Texas College,1,5750,NA,0.3597811218,3170
Nelson University,2,14750,0.3863,0.5294635004,1366
Southwestern University,2,19500,0.7049,0.7441860465,1454
Stephen F Austin State University,1,17750,0.5241,0.5218332732,8746
Texas State University,1,14993,0.5602,0.5704936576,34547
Southwestern Adventist University,2,21500,0.441,0.5218295218,574
Southwestern Christian College,2,PS,0.2845,0.2058823529,128
Sul Ross State University,1,11000,0.2673,0.4396551724,1378
Tarleton State University,1,13989,0.4831,0.5509441385,12263
Tarrant County College District,1,5500,NA,0.3136991954,40214
Temple College,1,7991,NA,0.2939017504,3168
University of Texas Southwestern Medical Center,1,PS,NA,PS,NA
The University of Texas Health Science Center at San Antonio,1,15000,NA,0.8328025478,864
The University of Texas Medical Branch at Galveston,1,12678,NA,0.8482632541,559
Texarkana College,1,9487,NA,0.2440801457,1609
Texas A&M University-Kingsville,1,15873,0.4477,0.4809881847,4622
Texas A&M University-College Station,1,15000,0.8366,0.8172941508,59099
The University of Texas at Arlington,1,11791,0.5506,0.5751619048,30834
The University of Texas at Austin,1,18909,0.8772,0.7677161698,42100
The University of Texas at Dallas,1,13750,0.702,0.6474207288,21317
The University of Texas at El Paso,1,12573,0.4661,0.4604780574,20547
The University of Texas at Tyler,1,12500,0.4526,0.5777777778,7009
Texas Chiropractic College Foundation Inc,2,PS,NA,PS,NA
Texas Christian University,2,19000,0.8468,0.7658067779,10919
Texas College,2,19500,0.1331,0.1821515892,644
University of North Texas Health Science Center,1,PS,NA,NA,17
Texas Lutheran University,2,14315,0.5443,0.6877637131,1260
The University of Texas Permian Basin,1,12285,0.4131,0.5969465649,4122
The University of Texas at San Antonio,1,15000,0.5227,0.5473905724,29675
Texas Southern University,1,16250,0.2249,0.2743614002,6619
Texas Tech University,1,15250,0.6706,0.65096517,32446
Texas Wesleyan University,2,13992,0.3246,0.4433164129,1671
Texas Woman's University,1,14000,0.4623,0.546930281,8804
Trinity University,2,19500,0.788,0.8642857143,2518
The University of Texas Health Science Center at Houston,1,12500,NA,0.8590021692,460
Texas Tech University Health Sciences Center,1,11250,NA,0.7752707581,1374
Tyler Junior College,1,6500,0.2372,0.3120615911,9065
Universal Technical Institute of Texas Inc.,3,11574,NA,0.4871115819,1823
UCAS University of Cosmetology Arts & Sciences-McAllen,3,6083,NA,0.3453355155,92
Vernon College,1,7000,NA,0.3775649795,1656
Victoria Beauty & Barber College,3,6222,NA,0.4622641509,64
Victoria College,1,7256,NA,0.397616468,2385
Vogue College of Cosmetology-McAllen,3,6333,NA,0.2878787879,336
Wayland Baptist University,2,15467,0.1908,0.462751972,2090
Weatherford College,1,6500,0.2272,0.3895196507,3961
West Texas A & M University,1,12620,0.4613,0.5558343789,6771
Western Texas College,1,5500,NA,0.4203821656,486
Wharton County Junior College,1,5500,NA,0.4124293785,4832
Wiley University,2,16833,0.2213,0.2487100103,636
Bridgerland Technical College,1,PS,NA,NA,1441
Brigham Young University,2,8310,0.804,0.8000703977,32221
Brigham Young University-Hawaii,2,5500,0.5938,0.7104930468,2812
Cameo College of Essential Beauty,3,5481,NA,0.5286343612,277
Collectiv Academy,3,9000,NA,PS,81
Davis Technical College,1,PS,NA,NA,2617
Utah Tech University,1,7191,0.3485,0.5032051282,8320
Evans Hairstyling College-Cedar City,3,PS,NA,PS,64
Evans Hairstyling College-St George,3,PS,NA,NA,57
Paul Mitchell the School-Salt Lake City,3,7666,NA,0.4013605442,289
Eagle Gate College-Murray,3,20000,0.5735,0.2944664032,252
Ensign College,2,3500,0.2669,0.6621983914,5969
Ogden-Weber Technical College,1,PS,NA,NA,2053
Snow College,1,4500,0.4395,0.6532045654,3552
Southern Utah University,1,7751,0.5851,0.6889400922,9533
Uintah Basin Technical College,1,PS,NA,NA,324
Utah State University,1,9500,0.5584,0.7044754038,20342
Utah Valley University,1,8899,0.3999,0.5938135219,27481
Salt Lake Community College,1,4408,NA,0.5443344334,17247
University of Utah,1,14000,0.642,0.7180530045,26041
Weber State University,1,9666,0.4264,0.6274288933,15619
Westminster University,2,18500,0.6675,0.726326743,882
Bennington College,2,19250,0.6787,0.7366412214,759
Champlain College,2,19500,0.6379,0.7388289676,2870
Community College of Vermont,1,5702,NA,0.4581447964,3093
Goddard College,2,16750,PS,0.5610859729,113
Middlebury College,2,11522,0.9305,0.8765743073,2785
Norwich University,2,17501,0.6105,0.7941976428,2490
O'Briens Aveda Institute,3,6333,NA,0.5432098765,85
Saint Michael's College,2,21500,0.7182,0.8415841584,1157
SIT Graduate Institute,2,PS,NA,PS,0
Sterling College,2,13625,0.3636,0.7384615385,66
Vermont Law and Graduate School,2,PS,NA,PS,NA
Vermont State University,1,11000,0.4992,0.7857802401,3567
University of Vermont,1,17500,0.772,0.8060367454,11614
Paul Mitchell the School-Roanoke,3,9500,NA,0.198019802,73
Advanced Technology Institute,3,12000,NA,0.3246268657,377
Averett University,2,16750,0.4468,0.5307760928,1162
Blue Ridge Community College,1,6500,NA,0.4230769231,2677
Bluefield University,2,13000,0.2912,0.502283105,683
Bridgewater College,2,17500,0.5388,0.7542579075,1388
William & Mary,1,15500,0.9098,0.8327922078,6949
Regent University,2,11000,0.5433,0.427027027,4282
Central School of Practical Nursing,1,PS,NA,NA,24
Central Virginia Community College,1,5500,NA,0.4320557491,2144
Christopher Newport University,1,19500,0.7557,0.7633819951,4402
Bryant & Stratton College-Virginia Beach,2,9500,0.2724,0.1873163434,1327
Mountain Gateway Community College,1,6500,NA,0.4680851064,457
Danville Community College,1,6100,NA,0.3197556008,1371
Eastern Virginia Medical School,1,PS,NA,PS,NA
Centura College-Virginia Beach,3,10054,NA,0.1454356126,8
Emory & Henry University,2,18460,0.5587,0.6430155211,1107
Eastern Mennonite University,2,16750,0.5547,0.7762478485,800
Eastern Shore Community College,1,PS,NA,NA,433
Ferrum College,2,14250,0.2846,0.4706911636,745
George Mason University,1,15750,0.6993,0.7304276541,27083
Germanna Community College,1,5500,NA,0.3897810219,5469
Hampden-Sydney College,2,19500,0.7004,0.7885117493,876
Hampton University,2,19500,0.5046,0.427592955,3254
Hollins University,2,22925,0.6729,0.5823389021,673
J Sargeant Reynolds Community College,1,8000,NA,0.2796432319,5284
James Madison University,1,17272,0.8102,0.8236451049,20497
Brightpoint Community College,1,5500,NA,0.3418719212,5548
Liberty University,2,15943,0.6453,0.3670201517,50059
Longwood University,1,19000,0.6393,0.7379912664,2957
Laurel Ridge Community College,1,5982,NA,0.4162962963,3167
University of Lynchburg,2,22500,0.6077,0.6803205699,1599
Centra College,2,12000,PS,0.7194244604,212
Mary Baldwin University,2,12250,0.4849,0.5070281124,1188
University of Mary Washington,1,16250,0.6808,0.7416131335,3504
Marymount University,2,20000,0.5931,0.6582827407,1795
Sovah School of Health Professions,3,PS,NA,0.6304347826,20
Mountain Empire Community College,1,PS,NA,NA,1240
American National University,3,7567,0.2603,0.1601953602,643
New River Community College,1,5998,NA,0.4238856182,1917
Sentara College of Health Sciences,2,15694,NA,0.7534883721,239
